gc fini
État du tas:
Bloc à l'adresse 0x55975a44e148: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e160: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e178: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e190: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e1a8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e1c0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e1d8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e1f0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e208: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e220: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e238: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e250: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e268: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e280: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e298: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e2b0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e2c8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e2e0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e2f8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e310: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e328: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e340: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e358: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e370: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e388: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e3a0: Taille: 2, Tag: 2, Couleur: Noir
